hospital,hospital_size,county,drg_code,name,price
MOUNT CARMEL HOSPITAL,Medium,Stevens,55,Nervous System Neoplasms Without Mcc,7203.8286
MOUNT CARMEL HOSPITAL,Medium,Stevens,56,Degenerative Nervous System Disorders With Mcc,26883.2286
MOUNT CARMEL HOSPITAL,Medium,Stevens,57,Degenerative Nervous System Disorders Without Mcc,8877.0974
MOUNT CARMEL HOSPITAL,Medium,Stevens,64,Intracranial Hemorrhage Or Cerebral Infarction With Mcc,21634.9018
MOUNT CARMEL HOSPITAL,Medium,Stevens,65,Intracranial Hemorrhage Or Cerebral Infarction With Cc Or Tpa In 24 Hours,16677.0505
MOUNT CARMEL HOSPITAL,Medium,Stevens,66,Intracranial Hemorrhage Or Cerebral Infarction Without Cc/Mcc,11330.1328
MOUNT CARMEL HOSPITAL,Medium,Stevens,68,Nonspecific Cva And Precerebral Occlusion Without Infarction Without Mcc,16753.1616
MOUNT CARMEL HOSPITAL,Medium,Stevens,69,Transient Ischemia Without Thrombolytic,11303.1835
MOUNT CARMEL HOSPITAL,Medium,Stevens,70,Nonspecific Cerebrovascular Disorders With Mcc,21530.2713
MOUNT CARMEL HOSPITAL,Medium,Stevens,71,Nonspecific Cerebrovascular Disorders With Cc,9481.7391
MOUNT CARMEL HOSPITAL,Medium,Stevens,73,Cranial And Peripheral Nerve Disorders With Mcc,9402.1551
MOUNT CARMEL HOSPITAL,Medium,Stevens,74,Cranial And Peripheral Nerve Disorders Without Mcc,9102.0514
MOUNT CARMEL HOSPITAL,Medium,Stevens,76,Viral Meningitis Without Cc/Mcc,19752.6291
MOUNT CARMEL HOSPITAL,Medium,Stevens,80,Nontraumatic Stupor And Coma With Mcc,37564.4105
MOUNT CARMEL HOSPITAL,Medium,Stevens,84,Traumatic Stupor And Coma >1 Hour Without Cc/Mcc,4136.7645
MOUNT CARMEL HOSPITAL,Medium,Stevens,89,Concussion With Cc,15610.3332
MOUNT CARMEL HOSPITAL,Medium,Stevens,99,Non-Bacterial Infection Of Nervous System Except Viral Meningitis Without Cc/Mcc,13751.8586
MOUNT CARMEL HOSPITAL,Medium,Stevens,100,Seizures With Mcc,18951.5376
MOUNT CARMEL HOSPITAL,Medium,Stevens,101,Seizures Without Mcc,11376.0429
MOUNT CARMEL HOSPITAL,Medium,Stevens,102,Headaches With Mcc,6218.7724
MOUNT CARMEL HOSPITAL,Medium,Stevens,125,Other Disorders Of The Eye Without Mcc,7724.4853
MOUNT CARMEL HOSPITAL,Medium,Stevens,175,Pulmonary Embolism With Mcc Or Acute Cor Pulmonale,14150.2451
MOUNT CARMEL HOSPITAL,Medium,Stevens,177,Respiratory Infections And Inflammations With Mcc,21003.3649
MOUNT CARMEL HOSPITAL,Medium,Stevens,178,Respiratory Infections And Inflammations With Cc,13989.3884
MOUNT CARMEL HOSPITAL,Medium,Stevens,180,Respiratory Neoplasms With Mcc,38206.7511
MOUNT CARMEL HOSPITAL,Medium,Stevens,186,Pleural Effusion With Mcc,2736.2406
MOUNT CARMEL HOSPITAL,Medium,Stevens,187,Pleural Effusion With Cc,8534.8813
MOUNT CARMEL HOSPITAL,Medium,Stevens,189,Pulmonary Edema And Respiratory Failure,22422.8747
MOUNT CARMEL HOSPITAL,Medium,Stevens,190,Chronic Obstructive Pulmonary Disease With Mcc,15511.9086
MOUNT CARMEL HOSPITAL,Medium,Stevens,191,Chronic Obstructive Pulmonary Disease With Cc,13313.0777
MOUNT CARMEL HOSPITAL,Medium,Stevens,192,Chronic Obstructive Pulmonary Disease Without Cc/Mcc,9650.6624
MOUNT CARMEL HOSPITAL,Medium,Stevens,193,Simple Pneumonia And Pleurisy With Mcc,14455.0608
MOUNT CARMEL HOSPITAL,Medium,Stevens,194,Simple Pneumonia And Pleurisy With Cc,12448.3493
MOUNT CARMEL HOSPITAL,Medium,Stevens,201,Pneumothorax Without Cc/Mcc,25647.799
MOUNT CARMEL HOSPITAL,Medium,Stevens,202,Bronchitis And Asthma With Cc/Mcc,12819.1523
MOUNT CARMEL HOSPITAL,Medium,Stevens,203,Bronchitis And Asthma Without Cc/Mcc,18857.5217
MOUNT CARMEL HOSPITAL,Medium,Stevens,208,Respiratory System Diagnosis With Ventilator Support <=96 Hours,39854.8637
