Run Date: 11/2/2021 12:40:20 PM
CDM Date Stamp: 3/25/2021
Diagnosis Related Group Code,Diagnosis Related Group Description,Price Tier,Revenue Code,CPT HCPCS DRG Code,CPT HCPCS DRG Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,AETNA,AMERIGROUP,CIGNA,FIRST_CHOICE,KAISER_COMMERCIAL,MEDICAID,MOLINA_COMMERCIAL,PREMERA_FIRST,REGENCE_BLUE_SHIELD_UMP,UNITED_HEALTHCARE_COMM
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,Inpatient,NA,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,NA,NA,27338.0200,15582.6714,18526.4295,25424.3586,24057.4576,18526.4295,25424.3586,0.0000,21870.4160,0.0000,21870.4160,24604.2180,19136.6140,21870.4160
070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,Inpatient,NA,070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,NA,NA,32692.4000,18634.6680,22154.9857,30403.9320,28769.3120,22154.9857,30403.9320,0.0000,26153.9200,0.0000,26153.9200,29423.1600,22884.6800,26153.9200
149,DYSEQUILIBRIUM,Inpatient,NA,149,DYSEQUILIBRIUM,NA,NA,28827.8000,16431.8460,19536.0233,26809.8540,25368.4640,19536.0233,26809.8540,0.0000,23062.2400,0.0000,23062.2400,25945.0200,20179.4600,23062.2400
178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,Inpatient,NA,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,NA,NA,11388.7000,6491.5590,7717.8942,10591.4910,10022.0560,7717.8942,10591.4910,0.0000,9110.9600,0.0000,9110.9600,10249.8300,7972.0900,9110.9600
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,Inpatient,NA,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,NA,NA,25089.6000,14301.0720,17002.7202,23333.3280,22078.8480,17002.7202,23333.3280,0.0000,20071.6800,0.0000,20071.6800,22580.6400,17562.7200,20071.6800
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,Inpatient,NA,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,NA,NA,12734.6000,7258.7220,8629.9837,11843.1780,11206.4480,8629.9837,11843.1780,0.0000,10187.6800,0.0000,10187.6800,11461.1400,8914.2200,10187.6800
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,Inpatient,NA,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,NA,NA,12747.8000,7266.2460,8638.9291,11855.4540,11218.0640,8638.9291,11855.4540,0.0000,10198.2400,0.0000,10198.2400,11473.0200,8923.4600,10198.2400
195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,Inpatient,NA,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,NA,NA,9329.8000,5317.9860,6322.6189,8676.7140,8210.2240,6322.6189,8676.7140,0.0000,7463.8400,0.0000,7463.8400,8396.8200,6530.8600,7463.8400
292,HEART FAILURE AND SHOCK WITH CC,Inpatient,NA,292,HEART FAILURE AND SHOCK WITH CC,NA,NA,19067.0000,10868.1900,12921.3246,17732.3100,16778.9600,12921.3246,17732.3100,0.0000,15253.6000,0.0000,15253.6000,17160.3000,13346.9000,15253.6000
309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,Inpatient,NA,309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,NA,NA,15826.9000,9021.3330,10725.5735,14719.0170,13927.6720,10725.5735,14719.0170,0.0000,12661.5200,0.0000,12661.5200,14244.2100,11078.8300,12661.5200
311,ANGINA PECTORIS,Inpatient,NA,311,ANGINA PECTORIS,NA,NA,8406.7000,4791.8190,5697.0524,7818.2310,7397.8960,5697.0524,7818.2310,0.0000,6725.3600,0.0000,6725.3600,7566.0300,5884.6900,6725.3600
315,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,Inpatient,NA,315,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,NA,NA,13339.9000,7603.7430,9040.1835,12406.1070,11739.1120,9040.1835,12406.1070,0.0000,10671.9200,0.0000,10671.9200,12005.9100,9337.9300,10671.9200
330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,Inpatient,NA,330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,NA,NA,46939.2000,26755.3440,31809.7570,43653.4560,41306.4960,31809.7570,43653.4560,0.0000,37551.3600,0.0000,37551.3600,42245.2800,32857.4400,37551.3600
340,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,Inpatient,NA,340,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,NA,NA,37711.6000,21495.6120,25556.3971,35071.7880,33186.2080,25556.3971,35071.7880,0.0000,30169.2800,0.0000,30169.2800,33940.4400,26398.1200,30169.2800
343,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,Inpatient,NA,343,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,NA,NA,47619.5500,27143.1435,32270.8166,44286.1815,41905.2040,32270.8166,44286.1815,0.0000,38095.6400,0.0000,38095.6400,42857.5950,33333.6850,38095.6400
388,GASTROINTESTINAL OBSTRUCTION WITH MCC,Inpatient,NA,388,GASTROINTESTINAL OBSTRUCTION WITH MCC,NA,NA,26401.2000,15048.6840,17891.5653,24553.1160,23233.0560,17891.5653,24553.1160,0.0000,21120.9600,0.0000,21120.9600,23761.0800,18480.8400,21120.9600
389,GASTROINTESTINAL OBSTRUCTION WITH CC,Inpatient,NA,389,GASTROINTESTINAL OBSTRUCTION WITH CC,NA,NA,10826.3995,6171.0477,7336.8342,10068.5515,9527.2315,7336.8342,10068.5515,0.0000,8661.1195,0.0000,8661.1195,9743.7595,7578.4795,8661.1195
390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,Inpatient,NA,390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,NA,NA,27745.0000,15814.6500,18802.2316,25802.8500,24415.6000,18802.2316,25802.8500,0.0000,22196.0000,0.0000,22196.0000,24970.5000,19421.5000,22196.0000
392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",Inpatient,NA,392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",NA,NA,13610.8000,7758.1560,9223.7670,12658.0440,11977.5040,9223.7670,12658.0440,0.0000,10888.6400,0.0000,10888.6400,12249.7200,9527.5600,10888.6400
416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC,Inpatient,NA,416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC,NA,NA,56631.4500,32279.9265,38378.0010,52667.2485,49835.6760,38378.0010,52667.2485,0.0000,45305.1600,0.0000,45305.1600,50968.3050,39642.0150,45305.1600
433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,Inpatient,NA,433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,NA,NA,28800.3500,16416.1995,19517.4211,26784.3255,25344.3080,19517.4211,26784.3255,0.0000,23040.2800,0.0000,23040.2800,25920.3150,20160.2450,23040.2800
