Run Date: 11/1/2021 5:00:40 PM
CDM Date Stamp: 5/22/2021
Diagnosis Related Group Code,Diagnosis Related Group Description,Price Tier,Revenue Code,CPT HCPCS DRG Code,CPT HCPCS DRG Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,AETNA,CIGNA,FIRST_CHOICE,PREMERA_BLUE_CROSS,REGENCE_,UHC_ALL_PAYER_DOCTORS_PLAN_NEXUS_ACO
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,Inpatient,NA,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,NA,NA,21489.7900,17191.8320,10854.0000,21489.7900,20415.3005,10854.0000,21489.7900,20415.3005,15130.9611,18266.3215
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,Inpatient,NA,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,NA,NA,26003.6700,20802.9360,14591.0000,26003.6700,24703.4865,14591.0000,26003.6700,24703.4865,18309.1841,22103.1195
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,Inpatient,NA,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,NA,NA,14421.2400,11536.9920,3618.0000,14421.2400,13700.1780,3618.0000,14421.2400,13700.1780,10153.9951,12258.0540
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,Inpatient,NA,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,NA,NA,14616.2200,11692.9760,10291.2805,14616.2200,13885.4090,10854.0000,14616.2200,13885.4090,10291.2805,12423.7870
069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,Inpatient,NA,069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,NA,NA,6981.1200,5584.8960,3280.0000,6981.1200,6632.0640,3280.0000,6981.1200,6632.0640,4915.4067,5933.9520
070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,Inpatient,NA,070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,NA,NA,24271.8100,19417.4480,17089.7814,24271.8100,23058.2195,17652.0000,24271.8100,23058.2195,17089.7814,20631.0385
100,SEIZURES WITH MCC,Inpatient,NA,100,SEIZURES WITH MCC,NA,NA,22420.0500,17936.0400,14472.0000,22420.0500,21299.0475,14472.0000,22420.0500,21299.0475,15785.9572,19057.0425
155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",Inpatient,NA,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",NA,NA,26999.2400,21599.3920,10854.0000,26999.2400,25649.2780,10854.0000,26999.2400,25649.2780,19010.1649,22949.3540
176,PULMONARY EMBOLISM WITHOUT MCC,Inpatient,NA,176,PULMONARY EMBOLISM WITHOUT MCC,NA,NA,16128.1750,12902.5400,10854.0000,16128.1750,15321.7662,10854.0000,16128.1750,15321.7662,11355.8481,13708.9488
178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,Inpatient,NA,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,NA,NA,20986.7264,16789.3811,9422.6666,20986.7264,19937.3901,9422.6666,20986.7264,19937.3901,14776.7542,17838.7174
