Run Date: 11/1/2021 4:27:48 PM
CDM Date Stamp: 2/1/2021
Diagnosis Related Group Code,Diagnosis Related Group Description,Price Tier,Revenue Code,CPT HCPCS DRG Code,CPT HCPCS DRG Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,AETNA_HMO_PPO,CIGNA,FIRST_CHOICE_HEALTH_NETWORK,MEDICAL_COST_CONTAIN_PPO,MULTIPLAN_COMPLEMENTARY,MULTIPLAN_PRIMARY_NETWORK,PREMERA_FIRST,PROVIDER_NETWORK_OF_AMERICA,REGENCE_BLUE_SHIELD_OF_IDAHO,THREE_RIVERS_PROVIDER_NETWORK
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,Inpatient,NA,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,NA,NA,10784.7000,9166.9950,8627.7600,10784.7000,9706.2300,8627.7600,9706.2300,10245.4650,10245.4650,9921.9240,9706.2300,10245.4650,10784.7000,9166.9950
179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,Inpatient,NA,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,NA,NA,7962.0700,6767.7595,6369.6560,7962.0700,7165.8630,6369.6560,7165.8630,7563.9665,7563.9665,7325.1044,7165.8630,7563.9665,7962.0700,6767.7595
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,Inpatient,NA,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,NA,NA,12572.7400,10686.8290,10058.1920,12572.7400,11315.4660,10058.1920,11315.4660,11944.1030,11944.1030,11566.9208,11315.4660,11944.1030,12572.7400,10686.8290
195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,Inpatient,NA,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,NA,NA,4448.4200,3781.1570,3558.7360,4448.4200,4003.5780,3558.7360,4003.5780,4225.9990,4225.9990,4092.5464,4003.5780,4225.9990,4448.4200,3781.1570
292,HEART FAILURE AND SHOCK WITH CC,Inpatient,NA,292,HEART FAILURE AND SHOCK WITH CC,NA,NA,13607.2700,11566.1795,10885.8160,13607.2700,12246.5430,10885.8160,12246.5430,12926.9065,12926.9065,12518.6884,12246.5430,12926.9065,13607.2700,11566.1795
310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,Inpatient,NA,310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,NA,NA,8294.0400,7049.9340,6635.2320,8294.0400,7464.6360,6635.2320,7464.6360,7879.3380,7879.3380,7630.5168,7464.6360,7879.3380,8294.0400,7049.9340
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",Inpatient,NA,559,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",NA,NA,7102.1300,6036.8105,5681.7040,7102.1300,6391.9170,5681.7040,6391.9170,6747.0235,6747.0235,6533.9596,6391.9170,6747.0235,7102.1300,6036.8105
562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",Inpatient,NA,562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",NA,NA,4933.7000,4193.6450,3946.9600,4933.7000,4440.3300,3946.9600,4440.3300,4687.0150,4687.0150,4539.0040,4440.3300,4687.0150,4933.7000,4193.6450
603,CELLULITIS WITHOUT MCC,Inpatient,NA,603,CELLULITIS WITHOUT MCC,NA,NA,3689.2800,3135.8880,2951.4240,3689.2800,3320.3520,2951.4240,3320.3520,3504.8160,3504.8160,3394.1376,3320.3520,3504.8160,3689.2800,3135.8880
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,Inpatient,NA,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,NA,NA,7659.7100,6510.7535,6127.7680,7659.7100,6893.7390,6127.7680,6893.7390,7276.7245,7276.7245,7046.9332,6893.7390,7276.7245,7659.7100,6510.7535
872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,Inpatient,NA,872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,NA,NA,3499.5600,2974.6260,2799.6480,3499.5600,3149.6040,2799.6480,3149.6040,3324.5820,3324.5820,3219.5952,3149.6040,3324.5820,3499.5600,2974.6260
948,SIGNS AND SYMPTOMS WITHOUT MCC,Inpatient,NA,948,SIGNS AND SYMPTOMS WITHOUT MCC,NA,NA,10715.4000,9108.0900,8572.3200,10715.4000,9643.8600,8572.3200,9643.8600,10179.6300,10179.6300,9858.1680,9643.8600,10179.6300,10715.4000,9108.0900
950,AFTERCARE WITHOUT CC/MCC,Inpatient,NA,950,AFTERCARE WITHOUT CC/MCC,NA,NA,7278.9000,6187.0650,5823.1200,7278.9000,6551.0100,5823.1200,6551.0100,6914.9550,6914.9550,6696.5880,6551.0100,6914.9550,7278.9000,6187.0650
