hospital,hospital_size,county,drg_code,name,price
EvergreenHealth,Large,King,3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",707407.9667
EvergreenHealth,Large,King,4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",481304.005
EvergreenHealth,Large,King,20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,298443.5875
EvergreenHealth,Large,King,23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY,225376.5787
EvergreenHealth,Large,King,24,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,105068.8867
EvergreenHealth,Large,King,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,141082.9972
EvergreenHealth,Large,King,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,109786.0558
EvergreenHealth,Large,King,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,80722.564
EvergreenHealth,Large,King,29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,126771.5
EvergreenHealth,Large,King,30,SPINAL PROCEDURES W/O CC/MCC,63648.05
EvergreenHealth,Large,King,33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,33588.6
EvergreenHealth,Large,King,34,CAROTID ARTERY STENT PROCEDURE W MCC,61062.0
EvergreenHealth,Large,King,35,CAROTID ARTERY STENT PROCEDURE W CC,109511.9
EvergreenHealth,Large,King,37,EXTRACRANIAL PROCEDURES W MCC,54953.8
EvergreenHealth,Large,King,38,EXTRACRANIAL PROCEDURES W CC,51491.8743
EvergreenHealth,Large,King,39,EXTRACRANIAL PROCEDURES W/O CC/MCC,37869.4675
EvergreenHealth,Large,King,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,85918.475
