hospital,county,hospital_size,drg_code,name,price
Arbor Health,Garfield,Medium,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,10784.7
Arbor Health,Garfield,Medium,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,7962.07
Arbor Health,Garfield,Medium,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,12572.74
Arbor Health,Garfield,Medium,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,4448.42
Arbor Health,Garfield,Medium,292,HEART FAILURE AND SHOCK WITH CC,13607.27
Arbor Health,Garfield,Medium,310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,8294.04
Arbor Health,Garfield,Medium,559,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",7102.13
Arbor Health,Garfield,Medium,562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",4933.7
Arbor Health,Garfield,Medium,603,CELLULITIS WITHOUT MCC,3689.28
Arbor Health,Garfield,Medium,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,7659.71
Arbor Health,Garfield,Medium,872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,3499.56
Arbor Health,Garfield,Medium,948,SIGNS AND SYMPTOMS WITHOUT MCC,10715.4
Arbor Health,Garfield,Medium,950,AFTERCARE WITHOUT CC/MCC,7278.9
Arbor Health,Lewis,Medium,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,27338.02
Arbor Health,Lewis,Medium,70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,32692.4
Arbor Health,Lewis,Medium,149,DYSEQUILIBRIUM,28827.8
Arbor Health,Lewis,Medium,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,11388.7
Arbor Health,Lewis,Medium,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,25089.6
Arbor Health,Lewis,Medium,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,12734.6
Arbor Health,Lewis,Medium,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,12747.8
Arbor Health,Lewis,Medium,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,9329.8
Arbor Health,Lewis,Medium,292,HEART FAILURE AND SHOCK WITH CC,19067.0
Arbor Health,Lewis,Medium,309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,15826.9
Arbor Health,Lewis,Medium,311,ANGINA PECTORIS,8406.7
Arbor Health,Lewis,Medium,315,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,13339.9
Arbor Health,Lewis,Medium,330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,46939.2
Arbor Health,Lewis,Medium,340,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,37711.6
Arbor Health,Lewis,Medium,343,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,47619.55
