hospital,drg_code,hospital_size,county,name,price
PeaceHealth St.Joseph Medical Center,216,Large,Whatcom,Cardiac Valve & Oth Maj Cardiothoracic Proc W Card Cath W Mcc,306198.98
PeaceHealth St.Joseph Medical Center,743,Large,Whatcom,Uterine & Adnexa Proc For Non-Malignancy W/O Cc/Mcc,33923.7
PeaceHealth St.Joseph Medical Center,470,Large,Whatcom,Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity W/O Mcc,59529.03
PeaceHealth St.Joseph Medical Center,460,Large,Whatcom,Spinal Fusion Except Cervical W/O Mcc,70992.56
PeaceHealth St.Joseph Medical Center,473,Large,Whatcom,Cervical Spinal Fusion W/O Cc/Mcc,70391.22
PeaceHealth St.Joseph Medical Center,96125,Large,Whatcom,"Standardized Thought Processing Testing, Interpretation, And Report Per Hour",365
PeaceHealth St.Joseph Medical Center,93451,Large,Whatcom,Insertion Of Catheter For Diagnostic Evaluation Of Right Heart Structures,12127
PeaceHealth St.Joseph Medical Center,93452,Large,Whatcom,Insertion Of Catheter Into Left Heart For Diagnosis,10951
PeaceHealth St.Joseph Medical Center,93454,Large,Whatcom,"Insertion Of Catheter For Imaging Of Heart Blood Vessels Or Grafts, Coronary Only",12295
PeaceHealth St.Joseph Medical Center,93456,Large,Whatcom,Insertion Of Catheter In Right Heart For X-Ray Imaging Of Blood Vessels Or Grafts,12295
PeaceHealth St.Joseph Medical Center,93458,Large,Whatcom,Left Heart Cath With Coronary ,13281
PeaceHealth St.Joseph Medical Center,93459,Large,Whatcom,Left Heart Cath With Coronary & Grafts,12295
PeaceHealth St.Joseph Medical Center,93460,Large,Whatcom,Right And Left Heart Cath With Coronary,12295
PeaceHealth St.Joseph Medical Center,93797,Large,Whatcom,Cardiac Rehab Phase 2 With Out Continuous Ecg,414
PeaceHealth St.Joseph Medical Center,93798,Large,Whatcom,Cardiac Rehab Phase 2 With Continuous Ecg,414
PeaceHealth St.Joseph Medical Center,96401,Large,Whatcom,Non-Hormonal Anti-Neoplastic Chemotherapy Beneath The Skin Or Into Muscle,460
PeaceHealth St.Joseph Medical Center,96402,Large,Whatcom,Hormonal Anti-Neoplastic Chemotherapy Administration Beneath The Skin Or Into Muscle,261
PeaceHealth St.Joseph Medical Center,96409,Large,Whatcom,Infusion Of Chemotherapy Into A Vein Using Push Technique,661
PeaceHealth St.Joseph Medical Center,96413,Large,Whatcom,Infusion Of Chemotherapy Into A Vein Up To 1 Hour,1099
PeaceHealth St.Joseph Medical Center,96415,Large,Whatcom,Infusion Of Chemotherapy Into A Vein,261
PeaceHealth St.Joseph Medical Center,96416,Large,Whatcom,Prolonged Chemotherapy Infusion Into A Vein By Portable Or Implanted Pump More Than 8,1142
PeaceHealth St.Joseph Medical Center,96450,Large,Whatcom,Chemotherapy Administration Into Spinal Canal Requiring Spinal Tap,1342
PeaceHealth St.Joseph Medical Center,96523,Large,Whatcom,Irrigation Of Implanted Venous Access Drug Delivery Device,178
PeaceHealth St.Joseph Medical Center,96549,Large,Whatcom,Chemotherapy Procedure,166
PeaceHealth St.Joseph Medical Center,70450,Large,Whatcom,Ct Scan Head Or Brain Without Contrast,1808
PeaceHealth St.Joseph Medical Center,71250,Large,Whatcom,Ct Scan Chest Without Contrast,2444
