drg_code,hospital_size,county,name,price
216,Large,Whatcom,Cardiac Valve & Oth Maj Cardiothoracic Proc W Card Cath W Mcc,306198.98
743,Large,Whatcom,Uterine & Adnexa Proc For Non-Malignancy W/O Cc/Mcc,33923.7
470,Large,Whatcom,Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity W/O Mcc,59529.03
460,Large,Whatcom,Spinal Fusion Except Cervical W/O Mcc,70992.56
473,Large,Whatcom,Cervical Spinal Fusion W/O Cc/Mcc,70391.22
96125,Large,Whatcom,"Standardized Thought Processing Testing, Interpretation, And Report Per Hour",365.0
93451,Large,Whatcom,Insertion Of Catheter For Diagnostic Evaluation Of Right Heart Structures,12127.0
93452,Large,Whatcom,Insertion Of Catheter Into Left Heart For Diagnosis,10951.0
93454,Large,Whatcom,"Insertion Of Catheter For Imaging Of Heart Blood Vessels Or Grafts, Coronary Only",12295.0
93456,Large,Whatcom,Insertion Of Catheter In Right Heart For X-Ray Imaging Of Blood Vessels Or Grafts,12295.0
93458,Large,Whatcom,Left Heart Cath With Coronary ,13281.0
93459,Large,Whatcom,Left Heart Cath With Coronary & Grafts,12295.0
93460,Large,Whatcom,Right And Left Heart Cath With Coronary,12295.0
93797,Large,Whatcom,Cardiac Rehab Phase 2 With Out Continuous Ecg,414.0
93798,Large,Whatcom,Cardiac Rehab Phase 2 With Continuous Ecg,414.0
96401,Large,Whatcom,Non-Hormonal Anti-Neoplastic Chemotherapy Beneath The Skin Or Into Muscle,460.0
96402,Large,Whatcom,Hormonal Anti-Neoplastic Chemotherapy Administration Beneath The Skin Or Into Muscle,261.0
96409,Large,Whatcom,Infusion Of Chemotherapy Into A Vein Using Push Technique,661.0
96413,Large,Whatcom,Infusion Of Chemotherapy Into A Vein Up To 1 Hour,1099.0
96415,Large,Whatcom,Infusion Of Chemotherapy Into A Vein,261.0
96416,Large,Whatcom,Prolonged Chemotherapy Infusion Into A Vein By Portable Or Implanted Pump More Than 8,1142.0
96450,Large,Whatcom,Chemotherapy Administration Into Spinal Canal Requiring Spinal Tap,1342.0
96523,Large,Whatcom,Irrigation Of Implanted Venous Access Drug Delivery Device,178.0
96549,Large,Whatcom,Chemotherapy Procedure,166.0
70450,Large,Whatcom,Ct Scan Head Or Brain Without Contrast,1808.0
71250,Large,Whatcom,Ct Scan Chest Without Contrast,2444.0
71260,Large,Whatcom,Ct Scan Chest With Contrast,3078.0
72192,Large,Whatcom,Ct Scan Of Pelvis Without Contrast,1912.0
72193,Large,Whatcom,Ct Scan Pelvis With Contrast,2973.0
74174,Large,Whatcom,Ct Scan Of Abdomen And Pelvis Blood Vessels,5923.0
74176,Large,Whatcom,Ct Scan Of Abdomen And Pelvis Without Contrast,3542.0
74177,Large,Whatcom,Ct Scan Of Abdomen And Pelvis With Contrast,4419.0
74178,Large,Whatcom,Ct Scan Abdomen And Pelvis Before And After Contrast,5922.0
75574,Large,Whatcom,Ct Scan Of Heart Blood Vessels And Grafts With Contrast Dye,5200.0
76700,Large,Whatcom,"Ultrasound Abdomen, Complete",928.0
76706,Large,Whatcom,Ultrasound Evaluation Of Abdominal Aorta To Detect Bulging (Aneurysm) ,481.0
76805,Large,Whatcom,"Ultrasound Pregnant Uterus, Greater Or Equal To 14 Weeks Gestation 1 Fetus",937.0
76815,Large,Whatcom,"Ultrasound Pregnant Uterus, Limited, 1 Or More Feutses",614.0
76819,Large,Whatcom,"Ultrasound Of Fetus, Biophysical Profile",650.0
76830,Large,Whatcom,"Ultrasound Pelvis, Vaginal Approach",646.0
76882,Large,Whatcom,"Ultrasound Of Leg Or Arm, Limited Area",394.0
93880,Large,Whatcom,Ultrasound Scanning Of Blood Flow (Outside The Brain) On Both Sides Of Head And Neck,1368.0
93925,Large,Whatcom,Ultrasound Study Of Arteries And Arterial Grafts Of Both Legs,1576.0
93926,Large,Whatcom,Ultrasound Study Of Arteries And Arterial Grafts Of One Leg Or Limited,1016.0
